Title,clean_synopsis
Norbert,norbert incompetent spy sad bureaucratic grey nation become key player thwart plan government exciting quest see travel alongside strange companion
Captain Underpants: The First Epic Movie,based bestselling book series outrageous comedy tell story george harold two overly imaginative prankster hypnotize principal thinking enthusiastic yet dimwitted superhero named captain underpants
The Darjeeling Limited,three american brother spoken year set train voyage across india plan find bond become brother like used spiritual quest however veers rapidly course due event involving counter pain killer indian cough syrup pepper spray
Teenage Mutant Ninja Turtles,kingpin threatens new york city group mutated turtle warrior must emerge shadow protect home
Jurassic World Dominion,four year isla nublar destroyed dinosaur live hunt alongside human world fragile balance reshape future determine whether human being remain apex predator planet share history fearsome creature
Rambo: First Blood Part II,john rambo released prison government top secret covert mission last place earth want return jungle vietnam
Tinker Bell and the Legend of the NeverBeast,ancient myth massive creature spark curiosity tinker bell good friend fawn animal fairy afraid break rule help animal need creature welcome pixie hollow scout fairy determined capture mysterious beast fear destroy home fawn must convince fairy friend risk everything rescue neverbeast
Inception,cobb skilled thief commits corporate espionage infiltrating subconscious target offered chance regain old life payment task considered impossible inception implantation another person idea target subconscious
Rampage,primatologist davis okoye share unshakable bond george extraordinarily intelligent silverback gorilla care since birth rogue genetic experiment gone awry mutates gentle ape raging creature enormous size make matter worse soon discovered similarly altered animal newly created alpha predator tear across north america destroying everything path okoye team discredited genetic engineer secure antidote fighting way ever changing battlefield halt global catastrophe save fearsome creature friend
Transformers One,untold origin story optimus prime megatron better known sworn enemy friend bonded like brother changed fate cybertron forever
G.I. Joe: Retaliation,framed crime country g joe team terminated presidential order force g joes fighting mortal enemy cobra forced contend threat within government jeopardize existence
TRON: Legacy,sam flynn tech savvy daring son kevin flynn investigates father disappearance pulled grid help mysterious program named quorra sam quest stop evil dictator clu crossing real world
Counterattack,hostage rescue mission creates new enemy capt guerrero elite soldier must face ambush criminal group
SPY x FAMILY CODE: White,guise taking family weekend winter getaway loid attempt make progress current mission operation strix prof difficult anya mistakenly get involved trigger event threaten world peace
Fast & Furious Presents: Hobbs & Shaw,ever since u diplomatic security service agent hobbs lawless outcast shaw first faced traded smack talk body blow cyber genetically enhanced anarchist brixton ruthless action threaten future humanity join force defeat
Cast Away,chuck nolan top international manager fedex kelly ph student love heading towards marriage chuck plane malaysia crash sea terrible storm survivor find marooned desolate island way escape chuck must find way survive new home
Jaws,seaside community amity find attack dangerous great white shark town chief police young marine biologist grizzled hunter embark desperate quest destroy beast strike
Kingsman: The Golden Circle,attack kingsman headquarters take place new villain rise eggsy merlin forced work together american agency known statesman save world
Planet of the Apes,astronaut taylor crash land distant planet ruled ape use primitive race human experimentation sport soon taylor find among hunted life hand benevolent chimpanzee scientist
