Title,clean_synopsis
Azzurri: Road to Wembley,docu film trace victorious ride mancini azzurri debut match final england troupe lived azzurri month bring spectator life player member staff training session match travel celebration adventure told voice protagonist confided dream joy pain hope camera blue dream road wembley completion project started year ago together figc tell national team approach european championship episode aired day immediately preceding european championship bringing new television language docu series one important time slot first generalist network blue dream road wembley project new format development department
Directing Annabelle: Creation,director david f sandberg take process behind making horror film annabelle creation
Cunk on Life,pioneering documentary maker philomena cunk return ambitious quest date venturing right universe everything examine life existence attempt find point along way interrogates expert subject big bang biology art artificial intelligence really get nub
Hired Gun,documentary film session touring musician hired well established famous band artist people may household name still top notch performer
Princes of the Yen,set th century japan documentary explores role power central bank used change country economic political social structure documentary adaption book professor richard werner
Jackie Chan: My Stunts,jackie chan stunt show trick trade jackie stunt team utilize perform stunt endless gag reel stunt gone wrong depth look timing camera placement make break shot jackie show done enhance fight protect stuntmen getting injured course character portraying wearing short tank top get hurt
Bono: Stories of Surrender,word music mischief bono pull back curtain deeply personal experience shaped son father husband activist u frontman
The Magic Touch of Harry Potter,documentary first three harry potter film detailing behind scene journey making
Buena Vista Social Club,fascinating oscar nominated documentary american guitarist ry cooder brings together group legendary cuban folk musician record grammy winning cd native city havana result spectacular compilation concert footage group gig amsterdam new york city famed carnegie hall director wim wenders capturing music also musician life story
The Walking Dead: Daryl Dixon: The Return,star twd daryl dixon norman reedus melissa mcbride revisit iconic moment character daryl carol discus coming season two twd daryl dixon
After Porn Ends 3,porn end continues explore whether career adult performer inherently damaging balance perfomer life retired
American Heretics: The Politics of the Gospel,american heretic politics gospel take audience buckle bible belt group defiant minister congregation community leader challenging deeply rooted fundamentalist christian doctrine favor gospel inclusion labeled heretic belief action refuse wield faith sword sharpened literal interpretation bible especially fundamentalist christian interpretation continue justify nationalism hack away landmark civil right protection woman minority immigrant lgbtq community
Sun Ra: A Joyful Noise,robert mugge filmed jazz great sun ra location philadelphia baltimore washington c resulting minute film includes multiple public private performance poetry reading band rehearsal interview extensive improvisation transferred hd original mm film lovingly restored best possible viewing experience
Hunger Ward,filmed inside two active therapeutic feeding center yemen hunger ward document two female health care worker fighting thwart spread starvation backdrop forgotten war film provides unflinching portrait dr aida alsadeeq nurse mekkia mahdi try save life hunger stricken child within population brink famine
Harta Tahta Raisa,recording journey raisa great indonesian singer childhood greatest achievement holding big concert gelora bung karno
The Kingdom of Dreams and Madness,follows behind scene work studio ghibli focusing notable figure hayao miyazaki isao takahata toshio suzuki
a-ha: The Movie,take reached nr billboard u dream came true band prepared success could bring including tension three band member
The Last Laugh,feature documentary humor holocaust examining whether ever acceptable use humor connection tragedy scale implication seemingly limit topic society prize free speech
Jackass 3.5,johnny knoxville jackass release unused material stunt trick antic shenanigan shot production jackass make film well hilarious outtake
XXXXXXX,tarot card reading starting point disruptive relationship point translation card symbol joint domestic exploration finding voice
In the Same Breath,documentary recount experience people ground earliest day novel coronavirus way two country dealt initial spread first day outbreak wuhan rampage across united state
Paris Is Burning,voguing come exactly throwing shade landmark documentary provides vibrant snapshot eye new york city african american latinx harlem drag ball scene made seven year paris burning offer intimate portrait rival fashion house fierce contest trophy house mother offering sustenance world rampant homophobia transphobia racism aid poverty featuring legendary voguers drag queen trans woman including willi ninja pepper labeija dorian corey venus xtravaganza
Among Us,based jaw dropping contact account individual around world among u explores suspicious phenomenon non human presence earth angel ets unveils many way may interacting communicating transferring subliminal information consciousness potentially dna film ultimately show interconnectedness specie may beneficial likely inevitable evolution intelligent universe film released territory title et contact
Home Movies 1971-81,home movie shot super mm w b hein year
My Massive Cock,extra large penis object desire many men extra large seriously complicates life relationship penis reduction surgery seems answer
Friends: The Reunion,cast friend reunites lifetime celebration hit series unforgettable evening filled iconic memory uncontrollable laughter happy tear special guest
My Life in China,america everyone family story immigration every family point somebody leave native country behind search better life hold onto identity adapt new life every family special story case chinese american story father would always tell u story walking day night swimming hour macau escape communism story would fall deaf ear returned china
Will & Harper,ferrell good friend harper come trans woman take road trip bond reintroduce harper country true self
Senna,remarkable story brazilian racing driver ayrton senna charting physical spiritual achievement track quest perfection mythical status since attained subject senna documentary feature span racing legend year f driver opening season untimely death decade later
The Summers of It - Chapter Two: It Ends,documentary focus actor journey two summer create remake original stephen king documentary originally released bonus material bundled chapter two
The Making of 'Jurassic Park',documentary treat film fan behind scene look making jurassic park one biggest hit milestone special effect development narrated james earl jones includes footage filming process well interview director steven spielberg member cast crew give insight like working together project effort took bring film completion
The Raw Ones,sun kissed floridian enjoy volleyball jumping rope trampoline relaxing sun
The Emperor's Naked Army Marches On,kenzo okuzaki year old veteran new guinea campaign world war ii set conduct interview survivor relative find truth behind atrocity committed japanese garrison surrounded particular unexplained killing two japanese private unit
The Ventures: Stars on Guitars,documentary film instrumental rock group world venture story rise fame right celebrate th anniversary playing best guitar rock time
Stop Making Sense,concert film documenting talking head height popularity tour album speaking tongue band take stage one one joined cadre guest musician career spanning cinematic performance feature creative choreography visuals
Cyber Hell: Exposing an Internet Horror,anonymous exploitative network online chat room ran rampant sex crime hunt take operator required gut tenacity
Einstein and the Bomb,happened einstein fled nazi germany using archival footage word docudrama dive mind tortured genius
Nanook of the North,pioneering documentary film depicts life indigenous inuit people canada northern quebec region although production contains fictional element vividly show resourceful subject survive harsh climate revealing construct igloo home find food hunting fishing film also capture beautiful unforgiving frozen landscape great white north far removed conventional civilization
Game of Thrones: The Last Watch,year acclaimed british filmmaker jeanie finlay embedded set hit hbo series game throne chronicling creation show ambitious complicated season debuting one week series finale game throne last watch delf deep mud blood reveal tear triumph involved challenge bringing fantasy world westeros life real studio field car park northern ireland made unprecedented access game throne last watch close personal portrait trench production following crew cast contend extreme weather punishing deadline ever excited fandom hungry spoiler much making documentary funny heartbreaking story told wit intimacy bittersweet pleasure mean create world say goodbye
Moonwalk One,documentary theo kamecke give indepth profound look apollo mission moon nasa footage interspersed reaction mission around world film capture intensity well philosophical significance event special award cannes written adam bernstein
Rewriting Trump,follows trump white house return bid featuring michael wolff trump jr campaign adviser stormy daniel cover alleged assassination attempt biden debate fallout harris potential candidacy
9to5: Days in Porn,day porn focus people behind controversial multi billion dollar industry adult entertainment industry depicts story one different unadorned authentic without glorification prejudice delivers deep insight personal life glamorous grotesque strange fascinating offensive absurd sometimes funny moment
After Porn Ends 2,porn end pick predecessor left turn back clock meet oldest living star adult film history go depth current retiree juxtaposes experience life porn delving deeper society ongoing stigma race misogyny reality decreasing opportunity former vhs box cover star career adult entertainment accepted proudly without regret fact seems proven pathway current happiness inner peace others however career porn proven conduit certain despair struggle find way bury past emerge new career calling
Karol G: Tomorrow Was Beautiful,karol g pull back curtain rise stardom navigating sold stadium tour creating new music releasing new album
Rise of the Superheroes,story superheroes tim burton prototype blockbuster batman blade x men spiderman iron man black panther brought life page comic book first took hollywood conquered world action film larger life character
Hearts of Darkness: A Filmmaker's Apocalypse,chronicle production problem including bad weather actor health war near filming location plagued filming apocalypse increasing cost nearly destroying life career francis ford coppola
Marvel Studios Assembled: The Making of Deadpool & Wolverine,hugh jackman ryan reynolds director shawn levy sit spill proverbial bean deadpool wolverine conceived carried term birthed
Happier Than Ever: A Love Letter to Los Angeles,fresh heel brand new album happier ever cinematic concert experience feature intimate performance every song album sequential order first time stage legendary hollywood bowl
Vini Jr.,vini jr talent resilience boldness follow dancing unpredictable foot inspiring journey becoming global soccer star
Trail of the Kiamichi Beast,true story beast oklahoma arkansas ouachita forest local want legend buried kept secret trail kiamichi beast brings even evidence light following stunning exposure movie kiamichi beast expedition kiamichi beast expedition exposed stunning proof bigfoot oklahoma
On Any Sunday,documentary motorcycle racing featuring star sport including film star steve mcqueen racer right
The Social Dilemma,documentary drama hybrid explores dangerous human impact social networking tech expert sounding alarm creation
Sans Soleil,woman narrates thought world traveler meditation time memory expressed word image place far flung japan guinea bissau iceland san francisco
Triumph of the Will,showcase german chancellor nazi party leader adolf hitler nuremberg rally
Art and Craft,several decade gifted incredibly prolific forger mark landis compulsively created impeccable copy work variety major artist donating institution across country landing piece many wall art craft brings u cluttered insular life unforgettable character find foil equally obsessive art registrar
The Game Changers,ufc octagon la vega anthropology lab dartmouth strongman gym berlin bushlands zimbabwe world introduced elite athlete special ops soldier visionary scientist cultural icon everyday hero mission create seismic shift way eat live
Bad Boys: Legacy,take epic lookback year making bad boy franchise minute retrospective go behind scene new movie exclusive conversation featuring smith martin lawrence explore making first three film commentary filmmaker jerry bruckheimer michael bay star vanessa hudgens alexander ludwig joe pantoliano initial table read final wrap fan experience intimate look action packed year journey
Thinking XXX,book project photographer timothy greenfield sander took photograph star adult movie pair photograph pose clothed nude film record photo shoot includes interview performer commentary eight writer john water actor writer discus economics nudity exhibitionism career private life
Jackass: The Movie,johnny knoxville band maniac perform variety stunt gross gag big screen first time wander around japan panda outfit wreak havoc civilized golf course even stunt involving live alligator
The Decline of Western Civilization Part III,decline western civilization iii documentary film directed penelope spheeris chronicle gutter punk lifestyle homeless teen los angeles
The Flamenco Guitar of Yerai Cortés,thoughtful exploration gypsy culture intimate portrait flamenco guitar player yerai cort healing family exorcism music ant n lvarez aka c tangana make filmmaking debut documentary
Shangshu Academy Witness,th may shangshu academy seminarium annuntiationis bailu town collapsed wenchuan earthquake hundred year ago french missionary built catholic seminary known shangshu academy tang min local catholist conflict nearby jiang family due economic benefit among employed clearing earthquake rubble site grudge jiang family tang min finally resulted vicious incident due quarrel father son jiang family brutally murdered tang min wife daughter face calamity tang min loss record survival development faith growth faith essential human life
Inside Job,film expose shocking truth behind economic crisis global financial meltdown cost trillion resulted million people losing home job extensive research interview major financial insider politician journalist inside job trace rise rogue industry unveils corrosive relationship corrupted politics regulation academia
Defying Gravity: The Curtain Rises on Wicked,behind scene look highly anticipated two part film adaptation hit broadway musical featuring interview cast crew
Humpback Whales,humpback whale take audience alaska hawaii kingdom tonga close look whale communicate sing feed play take care young humpback nearly driven extinction year ago today making steady recovery join team researcher explore make humpback acrobatic whale male sing intelligent foot ton animal migrate mile round trip every year
Free Solo,follow alex honnold attempt become first person ever free solo climb yosemite foot high el capitan wall rope safety gear would arguably greatest feat rock climbing history
Jennifer Aniston: More Than Friends,multiple level global superstar actress jennifer aniston yet road success come without challenge aniston radiates vulnerable warmth screen keep audience loyal
Sexxx,one evening without particular expectation went lavanderia vapore theatre collegno headquarters balletto teatro di torino directed loredana furno saw sexxx ballet matteo levaggi fan modern dance think fascination evening sincere convinced struck way choreographer able take explicit gesture movement sexual communication transform language dance since body language one topic interested filming since scandalous guardami already sufficiently motivated transform ballet movie davide ferrario
Cosmic Whistleblowers,filmmaker simon sharman go search truth roswell ufo mystery ufo investigator become focus controversial new evidence unearthed deception becomes name game
"Cryptopia: Bitcoin, Blockchains & the Future of the Internet",cryptopia bitcoin blockchains future internet take deep dive crypto ecosystem blockchain technology discover good bad ugly controversial industry major narrative conflict major player behind blockchain technology used create new fairer decentralised uncensored web control data protect online identity potential squandered mega corporation compete dominance new field unrivalled exclusive access award winning filmmaker torsten hoffman bitcoin end money know take u journey heart brave new world
We Are X,glam rock flamboyant survivor x japan ignited musical revolution japan late melodic metal twenty year tragic dissolution x japan leader yoshiki battle physical spiritual demon alongside prejudice west bring music world
Justin Bieber: Rise to Fame,transformation small town canadian boy international superstar happened almost overnight recording artist justin bieber help mother bieber started tube craze fueled baby faced good look impressive musical talent discovered manager scooter braun signed usher record label evident bieber fever getting started medium fixture household name bieber light stage top hit winning smile justin bieber rise fame delf musical life heartthrob also young star cope fame spends limited free time packed previously unseen footage exclusive interview teen idol rise fame chronicle life worldwide pop phenomenon tearing chart melting young heart
"We, The Marines",marine take viewer action packed adventure unparalleled experience becoming serving member u marine corp narrated former marine actor gene hackman film honor something dedication service film offer unforgettable glimpse first hand experience america first responder take become men woman honor defend country
Sea Lions of the Galapagos,follow leo handsome sea lion pup learning navigate life alongside mother luna
Air Force Elite: Thunderbirds,elite pilot air force thunderbird display exceptional skill trust courage high stake training season
Kids' R!ghts,personally witnessed sir elton john failed attempt adopt child young couple question ready kid whether everyone match certain criterion either biological adoptive parent search answer push entire journey nepal ukraine china united kingdom usa face corruption adoption system stand billion dollar behind meeting people managed adopt failed skin color weight habit middle investigation reveal right kid easily taken away people even civilized country vote needed regulation already action accept regulation fight
Air,discover game changing partnership undiscovered michael jordan nike fledgling basketball division revolutionized world sport culture air jordan brand
Boyka: Undisputed IV,fourth installment fighting franchise boyka shooting big league accidental death ring make question everything stand find wife man accidentally killed trouble boyka offer fight series impossible battle free life servitude
Shooter,top marine sniper bob lee swagger leaf military mission go horribly awry disappears living seclusion coaxed back service high profile government official convinces help thwart plot kill president united state ultimately double crossed framed attempt swagger becomes target nationwide manhunt go run track real killer find exactly set eventually seeking revenge powerful corrupt leader free world
Kiss the Girls,forensic psychologist detective alex cross travel north carolina team escaped kidnap victim kate mctiernan hunt casanova serial killer abducts strong willed woman force submit demand trail lead los angeles duo discovers psychopath may working alone
Fist of Fury,chen chen return former school shanghai learns beloved instructor murdered investigating man death chen discovers rival japanese school operating drug smuggling ring avenge master death chen take chinese japanese assassin even towering russian
Armor,armored truck security guard james brody working son casey transporting million dollar bank team thief led rook orchestrate takeover truck seize rich following violent car chase rook soon armored truck surrounded james casey find cornered onto decrepit bridge
The Verdict,frank galvin luck lawyer reduced drinking ambulance chasing former associate reminds obligation medical malpractice suit serving galvin silver platter party willing settle court blundering way preliminary galvin suddenly realizes case actually go court punish guilty get decent settlement client restore standing lawyer
Catch Me If You Can,true story frank abagnale jr th birthday successfully conned million dollar worth check pan pilot doctor legal prosecutor fbi agent make mission put behind bar frank eludes capture revel pursuit
Wife Swap,man accident work bos asks wife sex order free responsibility one day man witness scene wife sex bos decides take revenge bos wife
The Zone of Interest,commandant auschwitz rudolf h s wife hedwig strive build dream life family house garden next camp
Gran Torino,disgruntled korean war veteran walt kowalski set reform neighbor thao lor hmong teenager tried steal kowalski prized possession gran torino
The Three Musketeers: D'Artagnan,artagnan spirited young gascon left dead trying save noblewoman kidnapped paris try mean find attacker unaware quest lead heart war future france stake aided king musketeer athos porthos aramis face machination villainous cardinal richelieu milady de winter falling love constance queen confidante
Parthenope,parthenope born sea near naples beautiful enigmatic intelligent shamelessly courted many however beauty come cost
Incendies,mother last wish send twin jeanne simon journey middle east search tangled root adapted wajdi mouawad acclaimed play incendies tell powerful moving tale two young adult voyage core deep rooted hatred never ending war enduring love
The Social Network,harvard undergrad computer programmer mark zuckerberg begin work new concept eventually turn global social network known facebook six year later mark one youngest billionaire ever unprecedented success lead personal legal complication end receiving end two lawsuit one involving former friend
The Godfather Part III,midst trying legitimize business dealing new york italy aging mafia michael corleone seek forgiveness sin taking young protege wing
Platoon,young naive recruit vietnam chris taylor face moral crisis confronted horror war duality man
Irreversible,woman lover ex boyfriend take justice hand becomes victim rapist act undone man animal desire vengeance natural impulse crime remain unpunished
Summer Holiday,eight year old city boy shuvo restricted mixing others go spend summer holiday village grandmother enjoys freedom first time shuvo meet moinna everybody belief bee fated boy get attacked bee wherever go bitten honey bee recently moinna captivated home strict surveillance mother feeling claustrophobic moinna conspires younger brother anaira get home exploiting shuvo wandering around village moinna shuvo start discovering new world suddenly moinna found missing
Manchester by the Sea,older brother pass away lee chandler forced return home care year old nephew compelled deal tragic past separated family community born raised
The Woman King,story agojie female unit warrior protected african kingdom dahomey skill fierceness unlike anything world ever seen general nanisca train next generation recruit ready battle enemy determined destroy way life
The Fugitive,wrongfully convicted murdering wife sentenced death richard kimble escape law attempt find real killer clear name
The Shrouds,inconsolable since death wife karsh prominent businessman invents revolutionary controversial technology enables living monitor dear departed shroud one night multiple graf including karsh wife desecrated set track perpetrator
Belyas,audrey avila denise esteban dani yoshida star sultry belyas housewife tired controlling husband take different turn two young prostitute rent apartment befriends two begin admire sexual freedom
Gifted Hands: The Ben Carson Story,gifted hand ben carson story movie based life story world renowned neurosurgeon ben carson
Léon: The Professional,l top hit man new york earned rep effective cleaner next door neighbor wiped loose cannon dea agent becomes unwilling custodian year old mathilda long mathilda thought turn revenge considers following l footstep
The Seed of the Sacred Fig,investigating judge iman grapple paranoia amid political unrest tehran gun vanishes suspect wife daughter imposing draconian measure strain family tie societal rule crumble
Oppenheimer,story j robert oppenheimer role development atomic bomb world war ii
The Quiet Ones,group men denmark across europe pull biggest heist time danish soil kasper boxer chance left life offered opportunity plan robbery foreign initiator
The Fallout,wake school tragedy vada mia quinton form unique dynamic bond navigate never linear often confusing journey heal world feel forever changed
An Unfinished Film,film crew gather hotel near wuhan resume production film interrupted ten year earlier unexpected event disrupts preparation
Look Back,popular outgoing fujino celebrated classmate funny comic class newspaper one day teacher asks share space kyomoto truant recluse whose beautiful artwork spark competitive fervor fujino start jealousy transforms fujino realizes shared passion drawing
Baby Face,young woman us body sexuality help climb social ladder soon begin wonder new status ever bring happiness
The Sixth Sense,following unexpected tragedy child psychologist malcolm crowe meet nine year old boy named cole sear hiding dark secret
Juror #2,serving juror high profile murder trial family man justin kemp find struggling serious moral dilemma one could use sway jury verdict potentially convict free accused killer
Top Gun,lieutenant pete maverick mitchell friend co pilot nick goose bradshaw accepted elite training school fighter pilot dream come true tragedy well personal demon threaten pete dream becoming ace pilot
Rocky,uneducated collector philadelphia loan shark given lifetime opportunity fight world heavyweight boxing champion
Blade Runner,smog choked dystopian los angeles blade runner rick deckard called retirement terminate quartet replicants escaped earth seeking creator way extend short life span
The Dark Knight Rises,following death district attorney harvey dent batman assumes responsibility dent crime protect late attorney reputation subsequently hunted gotham city police department eight year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelms gotham finest dark knight resurfaces protect city branded enemy
F-Buddies,jas learns boyfriend cheating break boring prove wrong continue agrees fuck buddy set ex
GoodFellas,true story henry hill half irish half sicilian brooklyn kid adopted neighbourhood gangster early age climb rank mafia family guidance jimmy conway
Dead Poets Society,elite old fashioned boarding school new england passionate english teacher inspires student rebel convention seize potential every day courting disdain stern headmaster
Blade Runner 2049,thirty year event first film new blade runner lapd officer k unearths long buried secret potential plunge left society chaos k discovery lead quest find rick deckard former lapd blade runner missing year
The Dark Knight,batman raise stake war crime help lt jim gordon district attorney harvey dent batman set dismantle remaining criminal organization plague street partnership prof effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizen gotham joker
The Girl Who Escaped: The Kara Robinson Story,true story kara robinson kidnapped assaulted held captive hour year old kara robinson plot daring escape serial killer apartment
Eye for an Eye 2,blind swordsman skilled martial art named cheng xiazi xie miao accidentally save zhang xiaoyu yang enyou suffered destruction family persuasion orphan xiaoyu cheng reluctantly keep side teach skill xiaoyu also wait opportunity seek revenge
Southpaw,billy great hope reigning junior middleweight boxing champion impressive career loving wife daughter lavish lifestyle however tragedy strike billy hit rock bottom losing family house manager soon find unlikely savior tick willis former fighter train city toughest amateur boxer future line hope fight reclaim trust love
The Wall,jessica comley american agent u border patrol arizona mexico border unforgiving desert proud determined defend america drug trafficker illegal immigrant mean necessary relentless pushing limit lead one intervention going awry kill harmless migrant front three witness colleague try cover crime native american grandson faced authority word
Prisoners,keller dover facing every parent worst nightmare six year old daughter anna missing together young friend joy minute turn hour panic set lead dilapidated rv earlier parked street
Death Wish,mild mannered father transformed killing machine family torn apart violent act
Nocturnal Animals,susan morrow receives book manuscript ex husband man left year earlier asking opinion writing read drawn fictional life tony hastings mathematics professor whose family vacation turn violent
The Iron Claw,true story inseparable von erich brother made history intensely competitive world professional wrestling early tragedy triumph shadow domineering father coach brother seek larger life immortality biggest stage sport
American History X,derek vineyard paroled serving year prison killing two african american men brother danny vineyard narration learn going prison derek skinhead leader violent white supremacist gang committed act racial crime throughout l action greatly influenced danny reformed fresh prison derek severs contact gang becomes determined keep danny going violent path
The Perks of Being a Wallflower,pittsburgh pennsylvania high school freshman charlie wallflower always watching life sideline two senior student sam stepbrother patrick become mentor helping discover joy friendship music love
"Madrid, 1987",madrid unexpected encounter seasoned journalist young student lead profound exploration love desire politics power discovery
Good Will Hunting,headstrong yet aimless hunting genius level iq chooses work janitor mit secretly solves highly difficult graduate level math problem talent discovered professor gerald lambeau decides help misguided youth reach potential arrested attacking police officer professor lambeau make deal get leniency get court ordered therapy eventually therapist dr sean maguire help confront demon holding back
Curiosa,passionate love story set backdrop sexual freedom loosely based relationship th century author pierre lou marie de r gnier
The Unbreakable Boy,scott teresa lerette learn son austin autistic brittle bone disease initially worry son future scott growing faith austin incredible spirit become unbreakable finding joy gratitude courage even trying time
Pretty Baby,hattie new orleans prostitute meet photographer named bellocq brothel one night photograph befriends year old daughter violet violet brought working girl mother madam hattie skip town get married violet quickly loses innocence focus reuniting bellocq life bellocq compromised violet mother return town
Bloodsport,american army major go awol hong kong outlawed martial art contest called kumite
Mom's Friend,seong soo twenty year old boy decided move seoul accepted seoul university however victim real estate scam move mother friend house moreover turn mother friend sexy self employed mother seong soo attracted
Oldboy,clue came imprisoned drugged tortured year desperate man seek revenge captor
City of God,poverty stricken favelas rio de janeiro two young men choose different path rocket budding photographer document increasing drug related violence neighborhood jos z pequeno ambitious drug dealer diving dangerous life crime
Ad Astra,near future time hope hardship drive humanity look star beyond mysterious phenomenon menace destroy life planet earth astronaut roy mcbride undertakes mission across immensity space many peril uncover truth lost expedition decade boldly faced emptiness silence search unknown
American Beauty,lester burnham depressed suburban father mid life crisis decides turn hectic life around developing infatuation daughter attractive friend
Magnolia,one random day san fernando valley dying father young wife male caretaker famous lost son police officer love boy genius ex boy genius game show host estranged daughter become part dazzling multiplicity plot one story
Once Upon a Time in the West,railroad builder advance unstoppably arizona desert way sea jill arrives small town flagstone intention starting new life
Collateral,cab driver max pick man offer drive around promise easy money sour max realizes fare assassin
The Karate Kid Part III,despondent closing karate school cobra kai teacher john kreese join ruthless businessman martial artist get revenge daniel mr miyagi
Sniper: The White Raven,mykola eccentric pacifist want useful humanity war begin donbas mykola naive world collapsing militant kill pregnant wife burn home ground recovered make cardinal decision get enlisted sniper company met wife killer emotionally break arranges sniper terror enemy saved senseless death instructor get mortally wounded death friend leaf scar mykola ready sacrifice life
Rush,rivalry propels race car driver niki lauda james hunt fame glory horrible accident threatens end
Live,blogger yegor million follower pursuit content go shoot test drive car caucasus mountain everything get control moment employee car company alexander helping yegor accidentally step military mine yegor decides hype one fighting life another one million view every man stand together decide going die online
The Fire Inside,claressa shield high school junior flint michigan aided tough love coach jason crutchfield push past limitation become first american woman win olympic gold medal boxing even pinnacle success claressa reckon fact dream created equal real fight begun
Undisputed III: Redemption,russian inmate boyka severely hobbled knee injury suffered end undisputed longer feared prison fighter declined far good cleaning toilet new prison fight tournament begin international affair matching best fighter prison around globe enticing promise freedom winner boyka must reclaim dignity fight position tournament
BLUE LOCK THE MOVIE -EPISODE NAGI-,apathetic gamer nagi agrees join rich classmate mikage soccer partnership lead famous blue lock program change
La Haine,chaotic night rioting marginal suburb paris three young friend vinz hubert sa wander around unoccupied waiting news state health mutual friend seriously injured confronting police
Better Man,follow robbie williams journey childhood youngest member chart topping boyband take unparalleled achievement record breaking solo artist confronting challenge stratospheric fame success bring
Braveheart,enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lord soldier lead village revolt eventually entire country rise english rule
Chandu Champion,bullet wound one still body three different sport unshakable determination fulfill dream olympic gold later muralikant petkar india first paralympian finish top podium got recognition country year achieved athlete country could
Inheritance,patriarch wealthy powerful family suddenly pass away leaving wife daughter shocking secret inheritance threatens unravel destroy life
The Enforcer,noir thriller set miami film follows enforcer discovers femme fatale bos branched cyber sex trafficking putting young runaway befriended risk sacrifice everything save young girl deadly organization spent life building
Hidden Figures,untold story katherine g johnson dorothy vaughan mary jackson brilliant african american woman working nasa serving brain behind one greatest operation history launch astronaut john glenn orbit visionary trio crossed gender race line inspire generation dream big
Jack Reacher,one morning ordinary town five people shot dead seemingly random attack evidence point single suspect ex military sniper quickly brought custody interrogation yield one written note get jack reacher reacher enigmatic ex army investigator belief authority right man agrees help sniper defense attorney however reacher delf case less clear cut appears begin extraordinary chase truth pitting jack reacher unexpected enemy skill violence secret keep
"Girl, Interrupted",set changing world late susanna kaysen prescribed short rest psychiatrist met becomes strange unknown journey alice wonderland struggle thin line normal crazy susanna soon realizes hard get committed ultimately choose world people belong inside difficult world reality outside
Jack Reacher: Never Go Back,year resigning command elite military police unit nomadic righter wrong reacher drawn back life left behind friend successor major susan turner framed espionage reacher stop nothing prove innocence expose real perpetrator behind killing former soldier
Claudia,eager escape high society life among english elite woman fall love young musician husband however plan
Inglourious Basterds,nazi occupied france world war ii group jewish american soldier known basterds chosen specifically spread fear throughout third reich scalping brutally killing nazi basterds lead lt aldo raine soon cross path french jewish teenage girl run movie theater paris targeted soldier
Gangs of New York,early new york irish immigrant amsterdam vallon released prison return five point seeking revenge father killer william cutting powerful anti immigrant gang leader know revenge attained infiltrating cutting inner circle vallon journey becomes fight personal survival find place irish people
Arrival,taking place alien craft land around world expert linguist recruited military determine whether come peace threat
The Alto Knights,two new york notorious organized crime boss frank costello vito genovese vie control city street best friend petty jealousy series betrayal place deadly collision course reshape mafia america forever
Complete,abandoned fort man try recover lost love prepared make great sacrifice everything complete
The Passion of the Christ,graphic portrayal last twelve hour jesus nazareth life
Saving Private Ryan,u troop storm beach normandy three brother lie dead battlefield fourth trapped behind enemy line ranger captain john miller seven men tasked penetrating german held territory bringing boy home
Django Unchained,help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner
Valkyrie,wounded africa world war ii nazi col claus von stauffenberg return native germany join resistance daring plan create shadow government assassinate adolf hitler event unfold becomes central player find tasked leading coup personally killing f hrer
Greyhound,first time captain lead convoy allied ship carrying thousand soldier across treacherous water black pit front line wwii air cover protection day captain convoy must battle surrounding enemy nazi u boat order give ally chance win war
Alpha,prehistoric past keda young inexperienced hunter struggle return home separated tribe bison hunting go awry way back find unexpected ally
300: Rise of an Empire,greek general themistocles attempt unite greece leading charge change course war themistocles face massive invading persian force led mortal turned god xerxes artemesia vengeful commander persian navy
The Accountant,math savant uncooks book new client treasury department close activity body count start rise
Seven Samurai,samurai answer village request protection fall hard time town need protection bandit samurai gather six others help teach people defend villager provide soldier food
The Hobbit: An Unexpected Journey,bilbo baggins hobbit enjoying quiet life swept epic quest gandalf grey thirteen dwarf seek reclaim mountain home smaug dragon
King Kong,adventurous filmmaker carl denham set produce motion picture unlike anything world seen alongside leading lady ann darrow first mate jack driscoll arrive island discover legendary creature said neither beast man denham capture monster displayed broadway king kong eighth wonder world
"The Boy, the Mole, the Fox and the Horse",unlikely friendship boy mole fox horse traveling together boy search home
Suicide Squad,dc comic come suicide squad antihero team incarcerated supervillains act deniable asset united state government undertaking high risk black ops mission exchange commuted prison sentence
Descendants,present day idyllic kingdom benevolent teenage son king adam queen belle offer chance redemption troublemaking offspring disney classic villain cruella de vil carlos maleficent mal evil queen evie jafar jay
Thor: Love and Thunder,retirement interrupted gorr god butcher galactic killer seek extinction god thor odinson enlists help king valkyrie korg ex girlfriend jane foster wields mjolnir mighty thor together embark upon harrowing cosmic adventure uncover mystery god butcher vengeance stop late
Niko: Beyond the Northern Lights,niko reindeer join father santa flying force santa sleigh stolen acquaintance niko must find time christmas
10 Lives,pampered cat take granted lucky hand dealt rescued loved rose kind hearted passionate student loses ninth life fate step set transformative journey
The Lord of the Rings: The War of the Rohirrim,sudden attack wulf clever traitorous lord rohan seeking vengeance death father force helm hammerhand king rohan people make daring last stand ancient stronghold hornburg
Spellbound,powerful spell turn parent giant monster teenage princess must journey wild reverse curse late
Demon Slayer: Kimetsu no Yaiba Infinity Castle,demon slayer corp member hashira engaged group strength training program hashira training preparation forthcoming battle demon muzan kibutsuji appears ubuyashiki mansion head demon corp danger tanjiro hashira rush headquarters plunged deep descent mysterious space hand muzan kibutsuji destination tanjiro demon slayer corp fallen demon stronghold infinity castle battleground set final battle demon slayer corp demon ignites
